Ref,Val,Package,PosX,PosY,Rot,Side
"C20","1nF","C_0402_1005Metric",141.660000,-97.350000,90.000000,top
"C21","10uF","C_0402_1005Metric",151.770000,-108.830000,180.000000,top
"C22","100nF","C_0402_1005Metric",151.770000,-107.840000,0.000000,top
"C23","1uF","C_0402_1005Metric",153.350000,-108.300000,-90.000000,top
"C24","100uF","C_0402_1005Metric",154.390000,-108.300000,-90.000000,top
"C25","100nF","C_0402_1005Metric",152.010000,-91.370000,180.000000,top
"C26","1uF","C_0402_1005Metric",152.010000,-92.410000,180.000000,top
"C27","1uF","C_0402_1005Metric",155.440000,-108.300000,-90.000000,top
"C28","1uF","C_0402_1005Metric",140.250000,-93.770000,90.000000,top
"C29","1uF","C_0402_1005Metric",141.290000,-93.770000,90.000000,top
"C30","1uF","C_0402_1005Metric",156.570000,-91.670000,0.000000,top
"C31","1uF","C_0402_1005Metric",148.120000,-107.740000,90.000000,top
"C32","1uF","C_0402_1005Metric",156.570000,-92.730000,0.000000,top
"C33","1uF","C_0402_1005Metric",149.630000,-108.280000,180.000000,top
"C34","1uF","C_0402_1005Metric",154.420000,-92.180000,90.000000,top
"C35","1uF","C_0402_1005Metric",139.195000,-93.770000,90.000000,top
"C36","1uF","C_0402_1005Metric",149.620000,-92.190000,-90.000000,top
"C37","1uF","C_0402_1005Metric",138.165000,-93.770000,90.000000,top
"C38","1nF","C_0402_1005Metric",143.680000,-104.660000,0.000000,top
"C39","1nF","C_0402_1005Metric",143.680000,-101.960000,0.000000,top
"C40","1nF","C_0402_1005Metric",140.640000,-97.340000,-90.000000,top
"C41","1nF","C_0402_1005Metric",143.680000,-103.610000,0.000000,top
"C42","1nF","C_0402_1005Metric",143.680000,-100.910000,0.000000,top
"C43","1nF","C_0402_1005Metric",143.250000,-99.240000,-90.000000,top
"D3","TPD4E1B06DCKR","TVS_TPD4E1B06DCKR",138.752500,-104.360000,0.000000,top
"D4","TPD4E1B06DCKR","TVS_TPD4E1B06DCKR",138.760000,-100.140000,0.000000,top
"IC3","ADS1299-4PAGR","QFP50P1200X1200X120-64N",151.750000,-100.000000,0.000000,top
"R4","1M","R_0402_1005Metric",142.720000,-97.310000,90.000000,top
"R5","2.2k","R_0402_1005Metric",141.710000,-104.670000,0.000000,top
"R6","2.2k","R_0402_1005Metric",141.710000,-103.610000,0.000000,top
"R7","2.2k","R_0402_1005Metric",141.710000,-101.980000,0.000000,top
"R8","2.2k","R_0402_1005Metric",141.710000,-100.910000,0.000000,top
"R9","2.2k","R_0402_1005Metric",138.170000,-98.290000,0.000000,top
"R10","2.2k","R_0402_1005Metric",141.710000,-98.860000,0.000000,top
