Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0402_1005Metric",159.580000,-95.570000,180.000000,bottom
"C2","1uF","C_0402_1005Metric",156.100000,-101.000000,-90.000000,bottom
"C3","4.7uF","C_0402_1005Metric",155.730000,-96.990000,180.000000,bottom
"C4","100nF","C_0402_1005Metric",157.737500,-108.742500,-90.000000,bottom
"C5","4.7uF","C_0402_1005Metric",159.580000,-94.530000,0.000000,bottom
"C6","100nF","C_0402_1005Metric",157.737500,-106.122500,90.000000,bottom
"C7","100nF","C_0402_1005Metric",146.080000,-104.440000,0.000000,bottom
"C8","1uF","C_0402_1005Metric",139.960000,-100.300000,180.000000,bottom
"C9","2.2uF","C_0402_1005Metric",139.980000,-103.020000,0.000000,bottom
"C10","1uF","C_0402_1005Metric",139.959996,-98.790000,180.000000,bottom
"C11","10uF","C_0402_1005Metric",149.170000,-98.070000,180.000000,bottom
"C12","10uF","C_0402_1005Metric",151.100000,-103.200000,0.000000,bottom
"C13","10uF","C_0402_1005Metric",150.635000,-94.130000,90.000000,bottom
"C14","1uF","C_0402_1005Metric",146.720000,-91.920000,0.000000,bottom
"C15","10uF","C_0402_1005Metric",149.620000,-99.540000,-90.000000,bottom
"C16","100nF","C_0402_1005Metric",146.720000,-90.820000,0.000000,bottom
"C17","10uF","C_0402_1005Metric",149.620000,-101.520000,90.000000,bottom
"C18","10uF","C_0402_1005Metric",139.960000,-101.350000,0.000000,bottom
"C19","10uF","C_0402_1005Metric",152.545000,-90.840000,0.000000,bottom
"D1","LED_Y","LED_0603_1608Metric",146.312500,-89.500000,0.000000,bottom
"D2","PRTR5V0U2X","SOT-143",149.500000,-90.650000,180.000000,bottom
"IC1","NPM1300","QFN50P500X500X90-33N",145.080000,-100.780000,180.000000,bottom
"IC2","LM2664M6X_NOPB","SOT95P280X145-6N",153.025000,-93.650000,-90.000000,bottom
"L1","2.2uH","INDC2016X100N",151.340000,-98.390000,90.000000,bottom
"L2","2.2uH","INDC2016X100N",151.890000,-101.520000,0.000000,bottom
"R1","2.2","R_0402_1005Metric",155.730000,-98.050000,0.000000,bottom
"R2","150k","R_0402_1005Metric",142.280000,-104.930000,90.000000,bottom
"R3","150k","R_0402_1005Metric",143.330000,-104.930000,90.000000,bottom
"U1","NRF5340","XCVR_ISP2053-AX-RS",162.240000,-100.650000,-90.000000,bottom
"U2","BMI270","XDCR_BMI270",155.687500,-107.100000,-90.000000,bottom
